ERP_SPL;Cadastros;Cadastrodecliente;Editarcadastrodecliente;Apagarcadastrodecliente;Cadastrodefornecedor;Editarcadastrodefornecedor;Cadastrodefuncionario;Editarcadastrodefuncionario;Apagarcadastrodefuncionario;Cadastrodeusuario;Editarcadastrodeusuario;Apagarcadastrodeusuario;Cadastroderegrasdeacessodeusuario;Editarregrasdeacessodeusuario;Cadastros_6;Cadastrodeproduto;Editarcadastrodeproduto;Apagarcadastrodeproduto;Cadastrodeservico;Editarcadastrodeservico;Apagarcadastrodeservico;Login;Controledeacesso;Listagens;Listagemdeitens;Listagemdeprodutos;Listagemdeservicos;Listagemdepessoas;Listagemdeclientes;Listagemdefornecedores;Listagemdefuncionarios;Listagemdeusuarios;Listagemdeestoque;Controledeestoque;Entradadeestoque;Saidadeestoque;Manutencaodeestoque;Controlefinanceiro;Contasapagar;Contasareceber;Manutencaodelancamentos;Operacoes;Entradas;Ordensdecompra;OC_Movimentarestoque;OC_Gerarlancamentosapagar;Entradasdenotafiscal;ENF_Movimentarestoque;ENF_Gerarlancamentosapagar;Saidas;Orcamento;ORC_Movimentarestoque;ORC_Gerarlancamentosareceber;Venda;VEN_Movimentarestoque;VEN_Gerarlancamentosareceber;Apagarcadastrodefornecedor
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;false;true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;true;false;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;false;false;true;false;false;false;false;true;false;false;false;false;false;false;false;true;true;false;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;false;true;true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;true;false;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;false;true;false;true;false;false;false;false;false;true;false;false;false;false;false;false;false;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;true;true;true;true;false;false;true;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;true;false;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;false;true;true;false;false;true;false;false;true;true;false;false;false;false;false;false;false;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true;false;true;false;true;false;false;false;false;false;false;false;true;true;false;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;true;true;true;false;true;true;true;true;true;false;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;false;false;false;false;false;false;false;true;true;true;false;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;true;true;true;false;true;false;true;true;false;false;true;true;false;true;true;true;false;false;false;true;true;true;false;false;false;false;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;false;false;true;true;false;false;true;true;true;true;false;false;false;false;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;false;false;false;true;true;false;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;false;false;false;false;false;false;false;true
